electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum,scraperID
2004,14431,02216,1,102,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=0204&comboTribunal=am,84
2004,14431,02216,2,103,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=0304&comboTribunal=am,85
2004,14431,02232,98,123,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=314&comboTribunal=am,86
2004,14431,02046,103,125,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=125&comboTribunal=am,87
2004,14431,98353,132,066,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1016&comboTribunal=am,88
2004,14431,98353,133,067,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1013&comboTribunal=am,89
2004,14431,98353,138,065,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1012&comboTribunal=am,90
2004,14431,98353,139,062,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1014&comboTribunal=am,91
2004,14431,98353,127,054,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1004&comboTribunal=am,92
2004,14431,98353,121,059,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1006&comboTribunal=am,93
2004,14431,98353,129,056,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1003&comboTribunal=am,94
2004,14431,98353,128,048,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1002&comboTribunal=am,95
2004,14431,02410,104,020.01/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=093&comboTribunal=am,96
2004,14431,02410,105,020.02/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=093&comboTribunal=am,97
2004,14431,02410,106,020.03/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=094&comboTribunal=am,98
2004,14431,02410,108,020.05/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=096&comboTribunal=am,99
2004,14431,02410,107,020.04/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=095&comboTribunal=am,100
2004,14431,02410,109,020.06/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=097&comboTribunal=am,101
2004,14431,02410,110,020.07/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=098&comboTribunal=am,102
2004,14431,02453,75,081,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=081&comboTribunal=am,103
2004,14431,02534,117,111,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=101&comboTribunal=am,104
2004,14431,02534,118,133,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=123&comboTribunal=am,105
2004,14431,02550,380,5952004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=51182004&comboTribunal=am,106
2004,14431,02550,366,6042004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=51582004&comboTribunal=am,107
2004,14431,02550,475,6782004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=46142004&comboTribunal=am,108
2004,14431,02615,89,96,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=93&comboTribunal=am,109
2004,14431,02615,62,69,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=66&comboTribunal=am,110
2004,14431,02615,91,98,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=95&comboTribunal=am,111
2004,14431,02631,37,056,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=043&comboTribunal=am,112
2004,14431,02011,1,011,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=am,113
2004,14431,02011,2,009,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=am,114
2004,14431,98434,35,0053/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=am,115
2004,14431,02836,87,0117,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=008&comboTribunal=am,116
2004,14431,02836,43,049,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=003&comboTribunal=am,117
2004,14431,02836,74,083,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=007&comboTribunal=am,118
2004,14431,98477,48,072,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=072&comboTribunal=am,119
2004,14431,98477,49,071,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=071&comboTribunal=am,120
2004,14431,02810,82,114,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=114&comboTribunal=am,121
2004,14431,02810,53,083,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=083&comboTribunal=am,122
2004,14431,02810,30,057,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=057&comboTribunal=am,123
2004,14431,02810,43,072,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=072&comboTribunal=am,124
