electionYear,electionID,electoralUnitID,candidateID,sraperID
2004,14431,35149,87,214
2004,14431,35149,20,215
2004,14431,35157,67,216
2004,14431,30910,159,217
2004,14431,33650,32,218
2004,14431,33650,27,219
2004,14431,33650,25,220
2004,14431,35319,233,221
2004,14431,35432,26,222
2004,14431,35432,27,223
2004,14431,35432,34,224
2004,14431,35432,28,225
2004,14431,35475,142,226
2004,14431,35475,143,227
2004,14431,35513,82,228
2004,14431,35513,28,229
2004,14431,35556,162,230
2004,14431,35556,151,231
2004,14431,35572,40,232
2004,14431,35572,161,233
2004,14431,35653,163,234
2004,14431,35700,127,235
2004,14431,35700,128,236
2004,14431,35734,209,237
2004,14431,35734,306,238
2004,14431,35734,210,239
2004,14431,35734,324,240
2004,14431,35734,198,241
2004,14431,35734,194,242
2004,14431,35734,199,243
2004,14431,35734,168,244
