,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
0,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
4199,2008,14422,20001,2549,9.1/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=245/2008&comboTribunal=pb
4200,2008,14422,21652,9207,014.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=310/2008&comboTribunal=pb
4201,2008,14422,21652,9208,014.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=311/2008&comboTribunal=pb
4202,2008,14422,21652,9213,014.07/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=316/2008&comboTribunal=pb
4203,2008,14422,21652,9215,014.09/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=318/2008&comboTribunal=pb
4204,2008,14422,21750,7906,11.2/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=638/2008&comboTribunal=pb
4205,2008,14422,22071,10052,21.08/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=252/2008&comboTribunal=pb
4206,2008,14422,22136,6823,2.1/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=38/2008&comboTribunal=pb
4207,2008,14422,22152,7288,RCAND 14.10/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=183/2008&comboTribunal=pb
4208,2008,14422,22179,2739,013.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=148/2008&comboTribunal=pb
4209,2008,14422,22179,2740,013.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=149/2008&comboTribunal=pb
4210,2008,14422,19020,6936,05.07/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=57/2008&comboTribunal=pb
4211,2008,14422,19020,6938,05.09/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=59/2008&comboTribunal=pb
4212,2008,14422,22233,8328,009.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=238/2008&comboTribunal=pb
4213,2008,14422,21954,6021,08.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=072/2008&comboTribunal=pb
4214,2008,14422,21954,6762,11.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=112/2008&comboTribunal=pb
4215,2008,14422,19046,2178,007.04/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=300&comboTribunal=pb
4216,2008,14422,19046,2541,005.07/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=288&comboTribunal=pb
4217,2008,14422,21814,785,003.02/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1083/2008&comboTribunal=pb
4218,2008,14422,21814,2027,006.14/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1144/2008&comboTribunal=pb
4219,2008,14422,19135,3243,Rcand 09.01/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=226/2008&comboTribunal=pb
4220,2008,14422,19135,3244,Rcand 09.02/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=227/2008&comboTribunal=pb
4221,2008,14422,19135,3247,Rcand 09.19/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=244/2008&comboTribunal=pb
4222,2008,14422,19135,3248,Rcand 09.07/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=232/2008&comboTribunal=pb
4223,2008,14422,19135,3250,Rcand 09.03/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=228/2008&comboTribunal=pb
4224,2008,14422,21830,10753,003.03/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=671/2008&comboTribunal=pb
4225,2008,14422,22314,2057,04.8/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=11.8/2008&comboTribunal=pb
4226,2008,14422,22357,4051,11.013/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=656/2008&comboTribunal=pb
4227,2008,14422,22357,6424,14.011/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=678/2008&comboTribunal=pb
4228,2008,14422,22373,1096,Rcand 05.09/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=180/2008&comboTribunal=pb
4229,2008,14422,22390,3562,5.01/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=178/2008&comboTribunal=pb
4230,2008,14422,22411,1192,6.0/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=209/2008&comboTribunal=pb
4231,2008,14422,22411,1193,6.1/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=210/2008&comboTribunal=pb
4232,2008,14422,23175,13226,111/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=151/2008&comboTribunal=pe
4233,2008,14422,23205,10729,472/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=090/2008&comboTribunal=pe
4234,2008,14422,23256,12969,03/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=03/2008&comboTribunal=pe
4235,2008,14422,23272,6739,989/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=147/2008&comboTribunal=pe
4236,2008,14422,23396,1428,799/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=006/08&comboTribunal=pe
4237,2008,14422,23450,13581,31/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=31/2008&comboTribunal=pe
4238,2008,14422,23450,13582,32/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=32/2008&comboTribunal=pe
4239,2008,14422,23639,3829,034,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=034&comboTribunal=pe
4240,2008,14422,23671,8547,895/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=078/2008&comboTribunal=pe
4241,2008,14422,23671,15701,947/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=pe
4242,2008,14422,23167,15165,38/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=017/2008&comboTribunal=pe
4243,2008,14422,23167,15166,39/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=18/2008&comboTribunal=pe
4244,2008,14422,23167,15167,42/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=21/2008&comboTribunal=pe
4245,2008,14422,23167,15168,47/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=26/2008&comboTribunal=pe
